"","tweet.datetime","text","user.description","total.favorites","total.followers","total.friends","user.location","user.name","screen.name","total.statuses","tweet.mentions","retweet.mentions","url","retweet.url","total.retweets"
"1","Sat Oct 16 01:51:34 +0000 2021","wreckitralph mac miller pikachu bee honey nut cheerio zendaya charact franchiâ€¦","calvin and hobbes enthusiast",6078,154,358,"he/him","jacob","notjacobhooks_",5612,NA,NA,"https://twitter.com/i/web/status/1449191255934709760",NA,0
"2","Sat Oct 16 01:48:17 +0000 2021","sncaeoffici repost hour fall confer make check email zoom link iâ€¦","The official Twitter for the UNCG chapter of Student North Carolina Association Of EducatorsğŸ",29,59,16,"Greensboro, NC","UNCG SNCAE","UNCG_SNCAE",136,"SNCAEOfficial",NA,"https://twitter.com/i/web/status/1449190429858095111",NA,0
"3","Sat Oct 16 01:46:05 +0000 2021","sncaeoffici repost hour fall confer make check email foâ€¦","The official Twitter for the UNCG chapter of Student North Carolina Association Of EducatorsğŸ",29,59,16,"Greensboro, NC","UNCG SNCAE","UNCG_SNCAE",136,"SNCAEOfficial",NA,"https://twitter.com/i/web/status/1449189875870220291",NA,0
"4","Sat Oct 16 01:39:22 +0000 2021","deliv time send prompt term paper onlin class exam time exam fvsu asu ssu uwgâ€¦","For ideal assignment, research papers, essays,âœï¸âœï¸ consider my services at an affordable rate ğŸ’¯ Email:kaiyaessays2015@gmail.com",126,470,2544,"California, USA","Kaiya Essays/ Papers","Kaiya_md",305,NA,NA,"https://twitter.com/i/web/status/1449188182638141440",NA,0
"5","Sat Oct 16 01:38:44 +0000 2021","attend dukembb countdown crazniess home dukeathlet sat dukefhâ€¦","We are here for you! Whatever, Whenever! Duke Athletic Facilities, Game Operations and Championships questions.... lets us help!",393,3366,259,"Durham, NC","Duke Game Operations","Duke_GAMEDAY",6485,"DukeMBB",NA,"https://twitter.com/i/web/status/1449188027159482368",NA,0
"6","Sat Oct 16 01:32:55 +0000 2021","nice comeback road win citadelvb tonight uncg set ralli won tâ€¦","Things I like: BLTs, peaches, and all sports, including gardening. Especially gardening. Also a biased fan of a certain S.C. military college's varsity teams.",27,807,241,"Columbia, SC","Sandlapper Spike","SandlapperSpike",35966,"CitadelVB",NA,"https://twitter.com/i/web/status/1449186561103437826",NA,0
"7","Sat Oct 16 01:23:47 +0000 2021","kyndalivey thing uncg matter time day gonna swing ğÿ˜‚ğÿ˜‚ uncg","uncg â€˜25ğŸ’™ğŸ’›| 18 IG:@thakid.cc â€œConfidence comes naturally with success. But, success comes only to those who are confidentâ€",6388,119,279,"","Celineeâœ¨","thakidccc",881,"kyndal_ivey","kyndal_ivey",NA,NA,8
"8","Sat Oct 16 01:19:18 +0000 2021","hous januari june ncat uncg bennet","engineering student â€¢ digital artist â€¢ 22 â€¢ owner & crafter of @inbetweencocreations on IG",44749,1118,1050,"Jersey ","JaeğŸ’•","jaephillie",4454,NA,NA,NA,NA,0
"9","Sat Oct 16 01:15:28 +0000 2021","woffordwsoc win woffordwsoc uncg friday night mark win terrier spartan httpsâ€¦","The Official Wofford College Athletics Twitter!",2440,14925,76,"Spartanburg, SC","Wofford Terriers","WoffordTerriers",25534,"WoffordWSoc","WoffordWSoc",NA,"http://athletics.wofford.edu/index.aspx?tab=soccer2&path=wsoc",1
"10","Sat Oct 16 01:15:26 +0000 2021","thatchickirbi tomorrow serv addit inform post instagram stori ğÿ’– wssu ncat uncg wfu hâ€¦","Blunt Talk podcast ğŸ‘‘ NCSU alumna'15 ig:chelseashardae ig: Blunttalkllc #Blunttalk #Blunttalkwithbiggieshorty",2125,250,463,"International ","Biggie Shorty ãƒ„","ChelseaShardae",14289,"ThatChicKirby","ThatChicKirby",NA,"https://app.acuityscheduling.com/schedule.php?owner=17730546",2
