"","tweet.datetime","text","user.description","total.favorites","total.followers","total.friends","user.location","user.name","screen.name","total.statuses","tweet.mentions","retweet.mentions","url","retweet.url","total.retweets"
"1",2021-12-08 15:57:18,"uncgadmiss heard uncg open state art esport arena month hub locat","Lecturer  UncgOf UNCG Department of Religious Studies American Religion  Technology  Embodiment",589,336,389,"Greensboro, NC","John W  Borchert","JohnWBorchert",338,"UNCGAdmissions","UNCGAdmissions",NA,"http://admissions.uncg.edu",2
"2",2021-12-08 15:54:12,"forward think opt uncg","Lifelong North Carolinian  Mother  Educator  EdD  and Representative for NC House District 57  https   t co wgiHZXzIVd",5671,2603,772,"Greensboro, NC","Rep  Ashton Clemmons","Clemmons4NC",2634,"UNCG",NA,"https://twitter.com/uncgadmissions/status/1468596795228004355",NA,0
"3",2021-12-08 15:50:32,"uncg uncgyfi uncg","",0,0,18,"","Amari","Amari41725533",122,"UNCG",NA,NA,NA,0
"4",2021-12-08 15:50:13,"uncgyfi uncg uncgsuccess uncg","",0,0,18,"","Amari","Amari41725533",122,"UNCGyfy",NA,NA,NA,0
"5",2021-12-08 15:50:07,"rosedysfunct disneymom greensboroc","The official account for UNC Greensboro  A  UNC System school  We create remarkable real world impact  every day  Find your way here   UNCGWay IG  UNCG",8086,34168,1603,"Greensboro, North Carolina","UNCG","UNCG",19237,"RoseDysfunction",NA,NA,NA,0
"6",2021-12-08 15:46:46,"uncgadmiss heard uncg open state art esport arena month hub locat","The official account for UNC Greensboro  A  UNC System school  We create remarkable real world impact  every day  Find your way here   UNCGWay IG  UNCG",8086,34168,1603,"Greensboro, North Carolina","UNCG","UNCG",19237,"UNCGAdmissions","UNCGAdmissions",NA,"http://admissions.uncg.edu",2
"7",2021-12-08 15:46:11,"fourth annual toy joy drive take place tonight forward uncgway","11th Chancellor of  UNCG  Follow on Instagram  uncgchancellor",1259,2829,678,"Greensboro, NC","Chancellor Gilliam","UNCGChancellor",2110,NA,NA,"https://news.uncg.edu/toys-for-joy-parade-2021/",NA,0
"8",2021-12-08 15:45:16,"disneymom bachelor degre spanish love year colleg regular visit","True crime script writer   author of Confessions of a Bundyphile blog   Published on Bizarrepedia   True Crime Guy  Wrote Season 3 of Criminology podcast ",70119,4625,4982,"North Carolina, USA","E J  Hammon         ","RoseDysfunction",22873,"disneymom1126",NA,"https://twitter.com/i/web/status/1468607617861918720",NA,0
"9",2021-12-08 15:41:34,"excel qualiti grade paper kind hit essay due homework essay research paper","Quality essay  homework  papers  online class and thesis are guaranteed any time  DM  Your success is our first priority",2240,207,134,"California, USA","Master Writers","MasterwritersUS",3695,NA,NA,"https://twitter.com/i/web/status/1468606690203418630",NA,0
"10",2021-12-08 15:40:28,"hope toy joy even","The official account for UNC Greensboro  A  UNC System school  We create remarkable real world impact  every day  Find your way here   UNCGWay IG  UNCG",8086,34168,1603,"Greensboro, North Carolina","UNCG","UNCG",19237,NA,NA,"https://twitter.com/UNCG/status/1465759790613897218",NA,0
